Programa,Threads,Tamaño Matriz,Tiempo,Iteracion
matrizFxT,1,64,565,8
mmPosix,1,64,979,8
matrizFxC,1,128,4141,8
matrizFxT,1,128,3937,8
mmPosix,1,128,5192,8
matrizFxC,1,256,32769,8
matrizFxT,1,256,32842,8
mmPosix,1,256,38274,8
matrizFxC,1,512,414406,8
matrizFxT,1,512,273471,8
mmPosix,1,512,442048,8
matrizFxC,1,1024,5349498,8
matrizFxT,1,1024,2232299,8
mmPosix,1,1024,5525544,8
matrizFxC,2,64,544,8
matrizFxT,2,64,528,8
mmPosix,2,64,1098,8
matrizFxC,2,128,2180,8
matrizFxT,2,128,2293,8
mmPosix,2,128,3237,8
matrizFxC,2,256,17071,8
matrizFxT,2,256,16929,8
mmPosix,2,256,19588,8
matrizFxC,2,512,193360,8
matrizFxT,2,512,138322,8
mmPosix,2,512,203601,8
matrizFxC,2,1024,2625922,8
matrizFxT,2,1024,1128129,8
mmPosix,2,1024,2743741,8
matrizFxC,4,64,416,8
matrizFxT,4,64,477,8
mmPosix,4,64,1243,8
matrizFxC,4,128,1454,8
matrizFxT,4,128,1591,8
mmPosix,4,128,1865,8
matrizFxC,4,256,8910,8
matrizFxT,4,256,9318,8
mmPosix,4,256,10482,8
matrizFxC,4,512,95434,8
matrizFxT,4,512,69872,8
mmPosix,4,512,102308,8
matrizFxC,4,1024,1392988,8
matrizFxT,4,1024,577046,8
mmPosix,4,1024,1401970,8
matrizFxC,8,64,415,8
matrizFxT,8,64,470,8
mmPosix,8,64,931,8
matrizFxC,8,128,860,8
matrizFxT,8,128,917,8
mmPosix,8,128,1070,8
matrizFxC,8,256,4928,8
matrizFxT,8,256,5009,8
mmPosix,8,256,5587,8
matrizFxC,8,512,50478,8
matrizFxT,8,512,37465,8
mmPosix,8,512,53290,8
matrizFxC,8,1024,679474,8
matrizFxT,8,1024,299506,8
mmPosix,8,1024,676652,8
matrizFxC,16,64,467,8
matrizFxT,16,64,513,8
mmPosix,16,64,644,8
matrizFxC,16,128,802,8
matrizFxT,16,128,601,8
mmPosix,16,128,800,8
matrizFxC,16,256,2858,8
matrizFxT,16,256,2750,8
mmPosix,16,256,3041,8
matrizFxC,16,512,43512,8
matrizFxT,16,512,19676,8
mmPosix,16,512,27462,8
matrizFxC,16,1024,333253,8
matrizFxT,16,1024,159812,8
mmPosix,16,1024,342192,8
matrizFxC,32,64,673,8
matrizFxT,32,64,637,8
mmPosix,32,64,993,8
